ID,Equation,"Inputs (A, B, C, D, E)",Circuit,Min Delay (ns),Max Delay (ns),Combinational Depth,Final Output (Y)
904,"OR(BUFFER(NOR(BUFFER(A), C)), E)","[1, 0, 0, 1, 1]",OR -> BUFFER -> NOR -> BUFFER,3.9,6.5,4,1
905,"OR(BUFFER(XNOR(AND(A, B), C)), E)","[0, 0, 1, 1, 0]",OR -> BUFFER -> XNOR -> AND,6.7,10,4,0
906,"OR(BUFFER(XNOR(OR(A, B), C)), E)","[0, 0, 1, 0, 1]",OR -> BUFFER -> XNOR -> OR,6.7,10,4,1
907,"OR(BUFFER(XNOR(XOR(A, B), C)), E)","[1, 0, 1, 0, 1]",OR -> BUFFER -> XNOR -> XOR,7.2,10.5,4,1
908,"OR(BUFFER(XNOR(NAND(A, B), C)), E)","[0, 0, 1, 0, 0]",OR -> BUFFER -> XNOR -> NAND,6.2,9.5,4,1
909,"OR(BUFFER(XNOR(NOR(A, B), C)), E)","[0, 1, 0, 1, 0]",OR -> BUFFER -> XNOR -> NOR,6.2,9.5,4,1
910,"OR(BUFFER(XNOR(XNOR(A, B), C)), E)","[1, 0, 0, 1, 0]",OR -> BUFFER -> XNOR -> XNOR,7.2,10.5,4,1
911,"OR(BUFFER(XNOR(NOT(A), C)), E)","[1, 0, 1, 1, 1]",OR -> BUFFER -> XNOR -> NOT,5.7,8.5,4,1
912,"OR(BUFFER(XNOR(BUFFER(A), C)), E)","[0, 1, 1, 0, 1]",OR -> BUFFER -> XNOR -> BUFFER,4.9,7.5,4,1
913,"XOR(AND(AND(AND(A, B), C), D), E)","[1, 1, 1, 0, 1]",XOR -> AND -> AND -> AND,8.5,12.5,4,1
914,"XOR(AND(AND(OR(A, B), C), D), E)","[1, 0, 0, 1, 1]",XOR -> AND -> AND -> OR,8.5,12.5,4,1
915,"XOR(AND(AND(XOR(A, B), C), D), E)","[1, 1, 0, 0, 1]",XOR -> AND -> AND -> XOR,9,13,4,1
916,"XOR(AND(AND(NAND(A, B), C), D), E)","[1, 1, 0, 1, 1]",XOR -> AND -> AND -> NAND,8,12,4,1
917,"XOR(AND(AND(NOR(A, B), C), D), E)","[0, 0, 0, 1, 0]",XOR -> AND -> AND -> NOR,8,12,4,0
918,"XOR(AND(AND(XNOR(A, B), C), D), E)","[1, 0, 0, 0, 1]",XOR -> AND -> AND -> XNOR,9,13,4,1
919,"XOR(AND(AND(NOT(A), C), D), E)","[1, 0, 0, 0, 1]",XOR -> AND -> AND -> NOT,7.5,11,4,1
920,"XOR(AND(AND(BUFFER(A), C), D), E)","[1, 1, 0, 0, 0]",XOR -> AND -> AND -> BUFFER,6.7,10,4,0
921,"XOR(AND(OR(AND(A, B), C), D), E)","[1, 1, 1, 0, 0]",XOR -> AND -> OR -> AND,8.5,12.5,4,0
922,"XOR(AND(OR(OR(A, B), C), D), E)","[0, 0, 1, 1, 1]",XOR -> AND -> OR -> OR,8.5,12.5,4,0
923,"XOR(AND(OR(XOR(A, B), C), D), E)","[1, 0, 1, 0, 1]",XOR -> AND -> OR -> XOR,9,13,4,1
924,"XOR(AND(OR(NAND(A, B), C), D), E)","[0, 1, 0, 0, 0]",XOR -> AND -> OR -> NAND,8,12,4,0
925,"XOR(AND(OR(NOR(A, B), C), D), E)","[1, 0, 0, 1, 0]",XOR -> AND -> OR -> NOR,8,12,4,0
926,"XOR(AND(OR(XNOR(A, B), C), D), E)","[1, 0, 0, 1, 0]",XOR -> AND -> OR -> XNOR,9,13,4,0
927,"XOR(AND(OR(NOT(A), C), D), E)","[1, 0, 1, 1, 0]",XOR -> AND -> OR -> NOT,7.5,11,4,1
928,"XOR(AND(OR(BUFFER(A), C), D), E)","[0, 1, 0, 0, 1]",XOR -> AND -> OR -> BUFFER,6.7,10,4,1
929,"XOR(AND(XOR(AND(A, B), C), D), E)","[0, 0, 1, 0, 1]",XOR -> AND -> XOR -> AND,9,13,4,1
930,"XOR(AND(XOR(OR(A, B), C), D), E)","[0, 0, 0, 1, 1]",XOR -> AND -> XOR -> OR,9,13,4,1
931,"XOR(AND(XOR(XOR(A, B), C), D), E)","[0, 1, 0, 0, 0]",XOR -> AND -> XOR -> XOR,9.5,13.5,4,0
932,"XOR(AND(XOR(NAND(A, B), C), D), E)","[0, 1, 1, 1, 1]",XOR -> AND -> XOR -> NAND,8.5,12.5,4,1
933,"XOR(AND(XOR(NOR(A, B), C), D), E)","[1, 0, 1, 0, 0]",XOR -> AND -> XOR -> NOR,8.5,12.5,4,0
934,"XOR(AND(XOR(XNOR(A, B), C), D), E)","[0, 0, 1, 0, 0]",XOR -> AND -> XOR -> XNOR,9.5,13.5,4,0
935,"XOR(AND(XOR(NOT(A), C), D), E)","[0, 0, 1, 0, 0]",XOR -> AND -> XOR -> NOT,8,11.5,4,0
936,"XOR(AND(XOR(BUFFER(A), C), D), E)","[0, 1, 1, 0, 1]",XOR -> AND -> XOR -> BUFFER,7.2,10.5,4,1
937,"XOR(AND(NAND(AND(A, B), C), D), E)","[0, 1, 0, 1, 0]",XOR -> AND -> NAND -> AND,8,12,4,1
938,"XOR(AND(NAND(OR(A, B), C), D), E)","[0, 1, 0, 0, 1]",XOR -> AND -> NAND -> OR,8,12,4,1
939,"XOR(AND(NAND(XOR(A, B), C), D), E)","[0, 1, 0, 0, 0]",XOR -> AND -> NAND -> XOR,8.5,12.5,4,0
940,"XOR(AND(NAND(NAND(A, B), C), D), E)","[0, 0, 0, 1, 0]",XOR -> AND -> NAND -> NAND,7.5,11.5,4,1
941,"XOR(AND(NAND(NOR(A, B), C), D), E)","[1, 1, 1, 1, 1]",XOR -> AND -> NAND -> NOR,7.5,11.5,4,0
942,"XOR(AND(NAND(XNOR(A, B), C), D), E)","[1, 1, 1, 0, 0]",XOR -> AND -> NAND -> XNOR,8.5,12.5,4,0
943,"XOR(AND(NAND(NOT(A), C), D), E)","[0, 1, 1, 0, 1]",XOR -> AND -> NAND -> NOT,7,10.5,4,1
944,"XOR(AND(NAND(BUFFER(A), C), D), E)","[1, 1, 0, 1, 0]",XOR -> AND -> NAND -> BUFFER,6.2,9.5,4,1
945,"XOR(AND(NOR(AND(A, B), C), D), E)","[1, 1, 1, 0, 1]",XOR -> AND -> NOR -> AND,8,12,4,1
946,"XOR(AND(NOR(OR(A, B), C), D), E)","[0, 0, 0, 0, 0]",XOR -> AND -> NOR -> OR,8,12,4,0
947,"XOR(AND(NOR(XOR(A, B), C), D), E)","[1, 1, 1, 0, 0]",XOR -> AND -> NOR -> XOR,8.5,12.5,4,0
948,"XOR(AND(NOR(NAND(A, B), C), D), E)","[1, 1, 0, 1, 1]",XOR -> AND -> NOR -> NAND,7.5,11.5,4,0
949,"XOR(AND(NOR(NOR(A, B), C), D), E)","[1, 1, 0, 0, 0]",XOR -> AND -> NOR -> NOR,7.5,11.5,4,0
950,"XOR(AND(NOR(XNOR(A, B), C), D), E)","[1, 1, 1, 1, 0]",XOR -> AND -> NOR -> XNOR,8.5,12.5,4,0
951,"XOR(AND(NOR(NOT(A), C), D), E)","[1, 0, 1, 0, 0]",XOR -> AND -> NOR -> NOT,7,10.5,4,0
952,"XOR(AND(NOR(BUFFER(A), C), D), E)","[0, 1, 1, 0, 1]",XOR -> AND -> NOR -> BUFFER,6.2,9.5,4,1
953,"XOR(AND(XNOR(AND(A, B), C), D), E)","[1, 0, 1, 0, 0]",XOR -> AND -> XNOR -> AND,9,13,4,0
954,"XOR(AND(XNOR(OR(A, B), C), D), E)","[0, 0, 1, 0, 1]",XOR -> AND -> XNOR -> OR,9,13,4,1
955,"XOR(AND(XNOR(XOR(A, B), C), D), E)","[0, 0, 0, 0, 1]",XOR -> AND -> XNOR -> XOR,9.5,13.5,4,1
956,"XOR(AND(XNOR(NAND(A, B), C), D), E)","[1, 0, 1, 1, 1]",XOR -> AND -> XNOR -> NAND,8.5,12.5,4,0
957,"XOR(AND(XNOR(NOR(A, B), C), D), E)","[0, 0, 0, 1, 1]",XOR -> AND -> XNOR -> NOR,8.5,12.5,4,1
958,"XOR(AND(XNOR(XNOR(A, B), C), D), E)","[0, 1, 1, 0, 0]",XOR -> AND -> XNOR -> XNOR,9.5,13.5,4,0
959,"XOR(AND(XNOR(NOT(A), C), D), E)","[0, 1, 1, 0, 1]",XOR -> AND -> XNOR -> NOT,8,11.5,4,1
960,"XOR(AND(XNOR(BUFFER(A), C), D), E)","[0, 0, 1, 1, 1]",XOR -> AND -> XNOR -> BUFFER,7.2,10.5,4,1
961,"XOR(AND(NOT(AND(A, B)), D), E)","[1, 1, 0, 1, 0]",XOR -> AND -> NOT -> AND,7.5,11,4,0
962,"XOR(AND(NOT(OR(A, B)), D), E)","[0, 0, 0, 0, 1]",XOR -> AND -> NOT -> OR,7.5,11,4,1
963,"XOR(AND(NOT(XOR(A, B)), D), E)","[0, 1, 1, 1, 0]",XOR -> AND -> NOT -> XOR,8,11.5,4,0
964,"XOR(AND(NOT(NAND(A, B)), D), E)","[1, 1, 1, 1, 1]",XOR -> AND -> NOT -> NAND,7,10.5,4,0
965,"XOR(AND(NOT(NOR(A, B)), D), E)","[1, 0, 1, 1, 0]",XOR -> AND -> NOT -> NOR,7,10.5,4,1
966,"XOR(AND(NOT(XNOR(A, B)), D), E)","[1, 0, 1, 0, 0]",XOR -> AND -> NOT -> XNOR,8,11.5,4,0
967,"XOR(AND(BUFFER(AND(A, B)), D), E)","[1, 0, 0, 1, 0]",XOR -> AND -> BUFFER -> AND,6.7,10,4,0
968,"XOR(AND(BUFFER(OR(A, B)), D), E)","[0, 1, 0, 1, 0]",XOR -> AND -> BUFFER -> OR,6.7,10,4,1
969,"XOR(AND(BUFFER(XOR(A, B)), D), E)","[0, 1, 0, 0, 0]",XOR -> AND -> BUFFER -> XOR,7.2,10.5,4,0
970,"XOR(AND(BUFFER(NAND(A, B)), D), E)","[1, 1, 0, 0, 1]",XOR -> AND -> BUFFER -> NAND,6.2,9.5,4,1
971,"XOR(AND(BUFFER(NOR(A, B)), D), E)","[1, 0, 1, 0, 1]",XOR -> AND -> BUFFER -> NOR,6.2,9.5,4,1
972,"XOR(AND(BUFFER(XNOR(A, B)), D), E)","[0, 0, 0, 1, 0]",XOR -> AND -> BUFFER -> XNOR,7.2,10.5,4,1
973,"XOR(OR(AND(AND(A, B), C), D), E)","[0, 1, 0, 0, 1]",XOR -> OR -> AND -> AND,8.5,12.5,4,1
974,"XOR(OR(AND(OR(A, B), C), D), E)","[1, 0, 1, 0, 1]",XOR -> OR -> AND -> OR,8.5,12.5,4,0
975,"XOR(OR(AND(XOR(A, B), C), D), E)","[0, 0, 1, 1, 1]",XOR -> OR -> AND -> XOR,9,13,4,0
976,"XOR(OR(AND(NAND(A, B), C), D), E)","[1, 0, 1, 1, 0]",XOR -> OR -> AND -> NAND,8,12,4,1
977,"XOR(OR(AND(NOR(A, B), C), D), E)","[1, 0, 0, 0, 0]",XOR -> OR -> AND -> NOR,8,12,4,0
978,"XOR(OR(AND(XNOR(A, B), C), D), E)","[1, 0, 1, 0, 0]",XOR -> OR -> AND -> XNOR,9,13,4,0
979,"XOR(OR(AND(NOT(A), C), D), E)","[1, 0, 0, 1, 1]",XOR -> OR -> AND -> NOT,7.5,11,4,0
980,"XOR(OR(AND(BUFFER(A), C), D), E)","[0, 1, 1, 1, 1]",XOR -> OR -> AND -> BUFFER,6.7,10,4,0
981,"XOR(OR(OR(AND(A, B), C), D), E)","[0, 1, 1, 1, 1]",XOR -> OR -> OR -> AND,8.5,12.5,4,0
982,"XOR(OR(OR(OR(A, B), C), D), E)","[0, 1, 1, 0, 0]",XOR -> OR -> OR -> OR,8.5,12.5,4,1
983,"XOR(OR(OR(XOR(A, B), C), D), E)","[1, 1, 1, 0, 1]",XOR -> OR -> OR -> XOR,9,13,4,0
984,"XOR(OR(OR(NAND(A, B), C), D), E)","[0, 0, 0, 1, 1]",XOR -> OR -> OR -> NAND,8,12,4,0
985,"XOR(OR(OR(NOR(A, B), C), D), E)","[0, 1, 0, 0, 0]",XOR -> OR -> OR -> NOR,8,12,4,0
986,"XOR(OR(OR(XNOR(A, B), C), D), E)","[0, 1, 1, 0, 0]",XOR -> OR -> OR -> XNOR,9,13,4,1
987,"XOR(OR(OR(NOT(A), C), D), E)","[0, 0, 0, 1, 0]",XOR -> OR -> OR -> NOT,7.5,11,4,1
988,"XOR(OR(OR(BUFFER(A), C), D), E)","[0, 1, 0, 0, 1]",XOR -> OR -> OR -> BUFFER,6.7,10,4,1
989,"XOR(OR(XOR(AND(A, B), C), D), E)","[1, 0, 0, 1, 1]",XOR -> OR -> XOR -> AND,9,13,4,0
990,"XOR(OR(XOR(OR(A, B), C), D), E)","[1, 1, 0, 0, 0]",XOR -> OR -> XOR -> OR,9,13,4,1
991,"XOR(OR(XOR(XOR(A, B), C), D), E)","[0, 1, 1, 1, 0]",XOR -> OR -> XOR -> XOR,9.5,13.5,4,1
992,"XOR(OR(XOR(NAND(A, B), C), D), E)","[1, 0, 1, 0, 0]",XOR -> OR -> XOR -> NAND,8.5,12.5,4,0
993,"XOR(OR(XOR(NOR(A, B), C), D), E)","[0, 0, 1, 1, 0]",XOR -> OR -> XOR -> NOR,8.5,12.5,4,1
994,"XOR(OR(XOR(XNOR(A, B), C), D), E)","[0, 0, 1, 0, 1]",XOR -> OR -> XOR -> XNOR,9.5,13.5,4,1
995,"XOR(OR(XOR(NOT(A), C), D), E)","[0, 0, 1, 0, 1]",XOR -> OR -> XOR -> NOT,8,11.5,4,1
996,"XOR(OR(XOR(BUFFER(A), C), D), E)","[1, 1, 1, 1, 1]",XOR -> OR -> XOR -> BUFFER,7.2,10.5,4,0
997,"XOR(OR(NAND(AND(A, B), C), D), E)","[0, 0, 1, 0, 0]",XOR -> OR -> NAND -> AND,8,12,4,1
998,"XOR(OR(NAND(OR(A, B), C), D), E)","[0, 1, 1, 0, 1]",XOR -> OR -> NAND -> OR,8,12,4,1
999,"XOR(OR(NAND(XOR(A, B), C), D), E)","[0, 0, 1, 1, 0]",XOR -> OR -> NAND -> XOR,8.5,12.5,4,1
1000,"XOR(OR(NAND(NAND(A, B), C), D), E)","[0, 1, 0, 1, 1]",XOR -> OR -> NAND -> NAND,7.5,11.5,4,0
1001,"XOR(OR(NAND(NOR(A, B), C), D), E)","[1, 1, 1, 0, 1]",XOR -> OR -> NAND -> NOR,7.5,11.5,4,0
1002,"XOR(OR(NAND(XNOR(A, B), C), D), E)","[0, 1, 0, 0, 1]",XOR -> OR -> NAND -> XNOR,8.5,12.5,4,0
1003,"XOR(OR(NAND(NOT(A), C), D), E)","[0, 0, 0, 1, 0]",XOR -> OR -> NAND -> NOT,7,10.5,4,1
1004,"XOR(OR(NAND(BUFFER(A), C), D), E)","[1, 1, 1, 0, 1]",XOR -> OR -> NAND -> BUFFER,6.2,9.5,4,1
1005,"XOR(OR(NOR(AND(A, B), C), D), E)","[1, 1, 1, 0, 0]",XOR -> OR -> NOR -> AND,8,12,4,0
1006,"XOR(OR(NOR(OR(A, B), C), D), E)","[1, 0, 1, 0, 0]",XOR -> OR -> NOR -> OR,8,12,4,0
1007,"XOR(OR(NOR(XOR(A, B), C), D), E)","[0, 1, 1, 1, 0]",XOR -> OR -> NOR -> XOR,8.5,12.5,4,1
1008,"XOR(OR(NOR(NAND(A, B), C), D), E)","[1, 0, 1, 1, 0]",XOR -> OR -> NOR -> NAND,7.5,11.5,4,1
1009,"XOR(OR(NOR(NOR(A, B), C), D), E)","[0, 1, 1, 0, 1]",XOR -> OR -> NOR -> NOR,7.5,11.5,4,1
1010,"XOR(OR(NOR(XNOR(A, B), C), D), E)","[1, 1, 1, 0, 0]",XOR -> OR -> NOR -> XNOR,8.5,12.5,4,0
1011,"XOR(OR(NOR(NOT(A), C), D), E)","[1, 0, 1, 0, 1]",XOR -> OR -> NOR -> NOT,7,10.5,4,1
1012,"XOR(OR(NOR(BUFFER(A), C), D), E)","[1, 0, 1, 0, 0]",XOR -> OR -> NOR -> BUFFER,6.2,9.5,4,0
1013,"XOR(OR(XNOR(AND(A, B), C), D), E)","[0, 0, 1, 1, 1]",XOR -> OR -> XNOR -> AND,9,13,4,0
1014,"XOR(OR(XNOR(OR(A, B), C), D), E)","[0, 0, 1, 0, 0]",XOR -> OR -> XNOR -> OR,9,13,4,0
1015,"XOR(OR(XNOR(XOR(A, B), C), D), E)","[0, 1, 1, 0, 1]",XOR -> OR -> XNOR -> XOR,9.5,13.5,4,0
1016,"XOR(OR(XNOR(NAND(A, B), C), D), E)","[0, 0, 1, 0, 1]",XOR -> OR -> XNOR -> NAND,8.5,12.5,4,0
1017,"XOR(OR(XNOR(NOR(A, B), C), D), E)","[0, 0, 0, 0, 0]",XOR -> OR -> XNOR -> NOR,8.5,12.5,4,0
1018,"XOR(OR(XNOR(XNOR(A, B), C), D), E)","[0, 1, 1, 0, 1]",XOR -> OR -> XNOR -> XNOR,9.5,13.5,4,1
1019,"XOR(OR(XNOR(NOT(A), C), D), E)","[0, 0, 0, 1, 1]",XOR -> OR -> XNOR -> NOT,8,11.5,4,0
1020,"XOR(OR(XNOR(BUFFER(A), C), D), E)","[0, 1, 0, 0, 0]",XOR -> OR -> XNOR -> BUFFER,7.2,10.5,4,1
1021,"XOR(OR(NOT(AND(A, B)), D), E)","[0, 1, 1, 1, 0]",XOR -> OR -> NOT -> AND,7.5,11,4,1
1022,"XOR(OR(NOT(OR(A, B)), D), E)","[1, 0, 0, 1, 0]",XOR -> OR -> NOT -> OR,7.5,11,4,1
1023,"XOR(OR(NOT(XOR(A, B)), D), E)","[1, 0, 0, 0, 1]",XOR -> OR -> NOT -> XOR,8,11.5,4,1
1024,"XOR(OR(NOT(NAND(A, B)), D), E)","[1, 0, 1, 1, 1]",XOR -> OR -> NOT -> NAND,7,10.5,4,0
1025,"XOR(OR(NOT(NOR(A, B)), D), E)","[0, 0, 0, 0, 1]",XOR -> OR -> NOT -> NOR,7,10.5,4,1
1026,"XOR(OR(NOT(XNOR(A, B)), D), E)","[1, 0, 0, 0, 1]",XOR -> OR -> NOT -> XNOR,8,11.5,4,0
1027,"XOR(OR(BUFFER(AND(A, B)), D), E)","[0, 1, 0, 0, 0]",XOR -> OR -> BUFFER -> AND,6.7,10,4,0
1028,"XOR(OR(BUFFER(OR(A, B)), D), E)","[1, 0, 0, 0, 0]",XOR -> OR -> BUFFER -> OR,6.7,10,4,1
1029,"XOR(OR(BUFFER(XOR(A, B)), D), E)","[1, 1, 0, 0, 1]",XOR -> OR -> BUFFER -> XOR,7.2,10.5,4,1
1030,"XOR(OR(BUFFER(NAND(A, B)), D), E)","[0, 1, 1, 0, 1]",XOR -> OR -> BUFFER -> NAND,6.2,9.5,4,0
1031,"XOR(OR(BUFFER(NOR(A, B)), D), E)","[0, 1, 0, 1, 0]",XOR -> OR -> BUFFER -> NOR,6.2,9.5,4,1
1032,"XOR(OR(BUFFER(XNOR(A, B)), D), E)","[1, 0, 0, 0, 0]",XOR -> OR -> BUFFER -> XNOR,7.2,10.5,4,0
1033,"XOR(XOR(AND(AND(A, B), C), D), E)","[1, 0, 1, 1, 1]",XOR -> XOR -> AND -> AND,9,13,4,0
1034,"XOR(XOR(AND(OR(A, B), C), D), E)","[0, 0, 0, 1, 0]",XOR -> XOR -> AND -> OR,9,13,4,1
1035,"XOR(XOR(AND(XOR(A, B), C), D), E)","[1, 0, 1, 0, 1]",XOR -> XOR -> AND -> XOR,9.5,13.5,4,0
1036,"XOR(XOR(AND(NAND(A, B), C), D), E)","[1, 0, 1, 1, 0]",XOR -> XOR -> AND -> NAND,8.5,12.5,4,0
1037,"XOR(XOR(AND(NOR(A, B), C), D), E)","[1, 1, 0, 1, 0]",XOR -> XOR -> AND -> NOR,8.5,12.5,4,1
1038,"XOR(XOR(AND(XNOR(A, B), C), D), E)","[1, 0, 1, 1, 0]",XOR -> XOR -> AND -> XNOR,9.5,13.5,4,1
1039,"XOR(XOR(AND(NOT(A), C), D), E)","[0, 1, 1, 0, 0]",XOR -> XOR -> AND -> NOT,8,11.5,4,1
1040,"XOR(XOR(AND(BUFFER(A), C), D), E)","[1, 0, 0, 1, 0]",XOR -> XOR -> AND -> BUFFER,7.2,10.5,4,1
1041,"XOR(XOR(OR(AND(A, B), C), D), E)","[1, 1, 1, 1, 0]",XOR -> XOR -> OR -> AND,9,13,4,0
1042,"XOR(XOR(OR(OR(A, B), C), D), E)","[0, 1, 1, 0, 0]",XOR -> XOR -> OR -> OR,9,13,4,1
1043,"XOR(XOR(OR(XOR(A, B), C), D), E)","[1, 0, 0, 1, 0]",XOR -> XOR -> OR -> XOR,9.5,13.5,4,0
1044,"XOR(XOR(OR(NAND(A, B), C), D), E)","[1, 1, 1, 1, 0]",XOR -> XOR -> OR -> NAND,8.5,12.5,4,0
1045,"XOR(XOR(OR(NOR(A, B), C), D), E)","[1, 0, 0, 0, 1]",XOR -> XOR -> OR -> NOR,8.5,12.5,4,1
1046,"XOR(XOR(OR(XNOR(A, B), C), D), E)","[0, 1, 0, 1, 1]",XOR -> XOR -> OR -> XNOR,9.5,13.5,4,0
1047,"XOR(XOR(OR(NOT(A), C), D), E)","[0, 1, 1, 0, 0]",XOR -> XOR -> OR -> NOT,8,11.5,4,1
1048,"XOR(XOR(OR(BUFFER(A), C), D), E)","[1, 0, 1, 1, 1]",XOR -> XOR -> OR -> BUFFER,7.2,10.5,4,1
1049,"XOR(XOR(XOR(AND(A, B), C), D), E)","[1, 0, 1, 0, 0]",XOR -> XOR -> XOR -> AND,9.5,13.5,4,1
1050,"XOR(XOR(XOR(OR(A, B), C), D), E)","[0, 0, 0, 0, 1]",XOR -> XOR -> XOR -> OR,9.5,13.5,4,1
1051,"XOR(XOR(XOR(XOR(A, B), C), D), E)","[1, 1, 0, 0, 0]",XOR -> XOR -> XOR -> XOR,10,14,4,0
1052,"XOR(XOR(XOR(NAND(A, B), C), D), E)","[1, 0, 1, 0, 0]",XOR -> XOR -> XOR -> NAND,9,13,4,0
1053,"XOR(XOR(XOR(NOR(A, B), C), D), E)","[0, 1, 0, 1, 0]",XOR -> XOR -> XOR -> NOR,9,13,4,1
1054,"XOR(XOR(XOR(XNOR(A, B), C), D), E)","[0, 0, 0, 1, 1]",XOR -> XOR -> XOR -> XNOR,10,14,4,1
1055,"XOR(XOR(XOR(NOT(A), C), D), E)","[1, 0, 1, 0, 1]",XOR -> XOR -> XOR -> NOT,8.5,12,4,0
1056,"XOR(XOR(XOR(BUFFER(A), C), D), E)","[1, 1, 0, 0, 0]",XOR -> XOR -> XOR -> BUFFER,7.7,11,4,1
1057,"XOR(XOR(NAND(AND(A, B), C), D), E)","[0, 1, 1, 0, 1]",XOR -> XOR -> NAND -> AND,8.5,12.5,4,0
1058,"XOR(XOR(NAND(OR(A, B), C), D), E)","[1, 0, 0, 0, 1]",XOR -> XOR -> NAND -> OR,8.5,12.5,4,0
1059,"XOR(XOR(NAND(XOR(A, B), C), D), E)","[0, 1, 1, 0, 1]",XOR -> XOR -> NAND -> XOR,9,13,4,1
1060,"XOR(XOR(NAND(NAND(A, B), C), D), E)","[1, 1, 1, 0, 0]",XOR -> XOR -> NAND -> NAND,8,12,4,1
1061,"XOR(XOR(NAND(NOR(A, B), C), D), E)","[0, 1, 0, 0, 0]",XOR -> XOR -> NAND -> NOR,8,12,4,1
1062,"XOR(XOR(NAND(XNOR(A, B), C), D), E)","[1, 1, 0, 0, 1]",XOR -> XOR -> NAND -> XNOR,9,13,4,0
1063,"XOR(XOR(NAND(NOT(A), C), D), E)","[0, 0, 1, 0, 0]",XOR -> XOR -> NAND -> NOT,7.5,11,4,0
1064,"XOR(XOR(NAND(BUFFER(A), C), D), E)","[1, 0, 1, 1, 1]",XOR -> XOR -> NAND -> BUFFER,6.7,10,4,0
1065,"XOR(XOR(NOR(AND(A, B), C), D), E)","[1, 1, 0, 0, 1]",XOR -> XOR -> NOR -> AND,8.5,12.5,4,1
1066,"XOR(XOR(NOR(OR(A, B), C), D), E)","[1, 0, 0, 0, 1]",XOR -> XOR -> NOR -> OR,8.5,12.5,4,1
1067,"XOR(XOR(NOR(XOR(A, B), C), D), E)","[0, 0, 1, 1, 0]",XOR -> XOR -> NOR -> XOR,9,13,4,1
1068,"XOR(XOR(NOR(NAND(A, B), C), D), E)","[0, 1, 1, 1, 1]",XOR -> XOR -> NOR -> NAND,8,12,4,0
1069,"XOR(XOR(NOR(NOR(A, B), C), D), E)","[0, 0, 1, 0, 1]",XOR -> XOR -> NOR -> NOR,8,12,4,1
1070,"XOR(XOR(NOR(XNOR(A, B), C), D), E)","[0, 0, 0, 1, 0]",XOR -> XOR -> NOR -> XNOR,9,13,4,1
1071,"XOR(XOR(NOR(NOT(A), C), D), E)","[0, 1, 1, 0, 1]",XOR -> XOR -> NOR -> NOT,7.5,11,4,1
1072,"XOR(XOR(NOR(BUFFER(A), C), D), E)","[0, 1, 1, 1, 0]",XOR -> XOR -> NOR -> BUFFER,6.7,10,4,1
1073,"XOR(XOR(XNOR(AND(A, B), C), D), E)","[0, 1, 1, 0, 1]",XOR -> XOR -> XNOR -> AND,9.5,13.5,4,1
1074,"XOR(XOR(XNOR(OR(A, B), C), D), E)","[1, 1, 0, 0, 0]",XOR -> XOR -> XNOR -> OR,9.5,13.5,4,0
1075,"XOR(XOR(XNOR(XOR(A, B), C), D), E)","[0, 0, 0, 1, 0]",XOR -> XOR -> XNOR -> XOR,10,14,4,0
1076,"XOR(XOR(XNOR(NAND(A, B), C), D), E)","[1, 0, 0, 1, 1]",XOR -> XOR -> XNOR -> NAND,9,13,4,0
1077,"XOR(XOR(XNOR(NOR(A, B), C), D), E)","[1, 1, 1, 0, 1]",XOR -> XOR -> XNOR -> NOR,9,13,4,1
1078,"XOR(XOR(XNOR(XNOR(A, B), C), D), E)","[0, 0, 1, 1, 0]",XOR -> XOR -> XNOR -> XNOR,10,14,4,0
1079,"XOR(XOR(XNOR(NOT(A), C), D), E)","[1, 0, 0, 1, 0]",XOR -> XOR -> XNOR -> NOT,8.5,12,4,0
1080,"XOR(XOR(XNOR(BUFFER(A), C), D), E)","[1, 0, 0, 0, 0]",XOR -> XOR -> XNOR -> BUFFER,7.7,11,4,0
1081,"XOR(XOR(NOT(AND(A, B)), D), E)","[0, 0, 1, 1, 0]",XOR -> XOR -> NOT -> AND,8,11.5,4,0
1082,"XOR(XOR(NOT(OR(A, B)), D), E)","[0, 0, 1, 1, 0]",XOR -> XOR -> NOT -> OR,8,11.5,4,0
1083,"XOR(XOR(NOT(XOR(A, B)), D), E)","[1, 0, 1, 0, 0]",XOR -> XOR -> NOT -> XOR,8.5,12,4,0
1084,"XOR(XOR(NOT(NAND(A, B)), D), E)","[0, 0, 1, 0, 0]",XOR -> XOR -> NOT -> NAND,7.5,11,4,0
1085,"XOR(XOR(NOT(NOR(A, B)), D), E)","[1, 0, 0, 1, 0]",XOR -> XOR -> NOT -> NOR,7.5,11,4,0
1086,"XOR(XOR(NOT(XNOR(A, B)), D), E)","[0, 0, 1, 0, 0]",XOR -> XOR -> NOT -> XNOR,8.5,12,4,0
1087,"XOR(XOR(BUFFER(AND(A, B)), D), E)","[1, 0, 1, 0, 1]",XOR -> XOR -> BUFFER -> AND,7.2,10.5,4,1
1088,"XOR(XOR(BUFFER(OR(A, B)), D), E)","[0, 1, 1, 1, 1]",XOR -> XOR -> BUFFER -> OR,7.2,10.5,4,1
1089,"XOR(XOR(BUFFER(XOR(A, B)), D), E)","[1, 1, 0, 1, 1]",XOR -> XOR -> BUFFER -> XOR,7.7,11,4,0
1090,"XOR(XOR(BUFFER(NAND(A, B)), D), E)","[0, 1, 1, 1, 0]",XOR -> XOR -> BUFFER -> NAND,6.7,10,4,0
